"base","mode","module","version","dep_one","dep_one_version","dep_two","dep_two_version"
"perl:5.38","baseline","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","","","",""
"perl:5.38","vary-one","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.053","",""
"perl:5.38","vary-one","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.006","",""
"perl:5.38","vary-one","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Path::Tiny","0.150","",""
"perl:5.38","vary-one","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Path::Tiny","0.001","",""
"perl:5.38","vary-one","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Net::Amazon::Signature::V4","0.22","",""
"perl:5.38","vary-one","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Net::Amazon::Signature::V4","0.04","",""
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.053","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.053","Path::Tiny","0.001"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.006","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.006","Path::Tiny","0.001"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.053","Net::Amazon::Signature::V4","0.22"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.053","Net::Amazon::Signature::V4","0.04"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.006","Net::Amazon::Signature::V4","0.22"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Module::Build::Tiny","0.006","Net::Amazon::Signature::V4","0.04"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Net::Amazon::Signature::V4","0.22","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Net::Amazon::Signature::V4","0.04","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Net::Amazon::Signature::V4","0.22","Path::Tiny","0.001"
"perl:5.38","vary-two","Paws::CognitoIdp::CustomEmailLambdaVersionConfigType","0.46","Net::Amazon::Signature::V4","0.04","Path::Tiny","0.001"
"perl:5.38","baseline","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","","","",""
"perl:5.38","vary-one","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.053","",""
"perl:5.38","vary-one","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.006","",""
"perl:5.38","vary-one","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Path::Tiny","0.150","",""
"perl:5.38","vary-one","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Path::Tiny","0.001","",""
"perl:5.38","vary-one","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Net::Amazon::Signature::V4","0.22","",""
"perl:5.38","vary-one","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Net::Amazon::Signature::V4","0.04","",""
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.053","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.053","Path::Tiny","0.001"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.006","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.006","Path::Tiny","0.001"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.053","Net::Amazon::Signature::V4","0.22"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.053","Net::Amazon::Signature::V4","0.04"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.006","Net::Amazon::Signature::V4","0.22"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Module::Build::Tiny","0.006","Net::Amazon::Signature::V4","0.04"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Net::Amazon::Signature::V4","0.22","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Net::Amazon::Signature::V4","0.04","Path::Tiny","0.150"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Net::Amazon::Signature::V4","0.22","Path::Tiny","0.001"
"perl:5.38","vary-two","Paws::EC2::LaunchTemplateLicenseConfigurationRequest","0.46","Net::Amazon::Signature::V4","0.04","Path::Tiny","0.001"
"perl:5.38","baseline","SDL2::Point","0.08","","","",""
"perl:5.38","vary-one","SDL2::Point","0.08","FFI::ExtractSymbols","0.07","",""
"perl:5.38","vary-one","SDL2::Point","0.08","FFI::ExtractSymbols","0.02","",""
"perl:5.38","vary-one","SDL2::Point","0.08","Try::Tiny","0.32","",""
"perl:5.38","vary-one","SDL2::Point","0.08","Try::Tiny","0.01","",""
"perl:5.38","vary-one","SDL2::Point","0.08","FFI::Platypus","2.11","",""
"perl:5.38","vary-one","SDL2::Point","0.08","FFI::Platypus","0.12","",""
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.07","Try::Tiny","0.32"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.07","Try::Tiny","0.01"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.02","Try::Tiny","0.32"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.02","Try::Tiny","0.01"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.07","FFI::Platypus","2.11"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.07","FFI::Platypus","0.12"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.02","FFI::Platypus","2.11"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::ExtractSymbols","0.02","FFI::Platypus","0.12"
"perl:5.38","vary-two","SDL2::Point","0.08","FFI::Platypus","2.11","Try::Tiny","0.32"
