base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,AI::Nerl,0.03,Moose,0.18,,
perl:5.36,vary-one,AI::Nerl,0.03,Moose,0.18,,
perl:5.38,vary-one,AI::Nerl,0.03,Moose,0.18,,
perl:5.40,vary-one,AI::Nerl,0.03,Moose,0.18,,
perl:5.42,vary-one,AI::Nerl,0.03,Moose,0.18,,
perl:5.34,vary-one,AFS::PAG,1.02,Module::Build,0.01,,
perl:5.36,vary-one,AFS::PAG,1.02,Module::Build,0.01,,
perl:5.38,vary-one,AFS::PAG,1.02,Module::Build,0.01,,
perl:5.40,vary-one,AFS::PAG,1.02,Module::Build,0.01,,
perl:5.42,vary-one,AFS::PAG,1.02,Module::Build,0.01,,
perl:5.34,vary-one,App::Fetchware::ExportAPI,1.016,URI,0.01,,
perl:5.36,vary-one,App::Fetchware::ExportAPI,1.016,URI,0.01,,
perl:5.38,vary-one,App::Fetchware::ExportAPI,1.016,URI,0.01,,
perl:5.40,vary-one,App::Fetchware::ExportAPI,1.016,URI,0.01,,
perl:5.42,vary-one,App::Fetchware::ExportAPI,1.016,URI,0.01,,
perl:5.34,vary-one,Paws::ACM::GetCertificate,0.46,MooseX::ClassAttribute,0.01,,
perl:5.36,vary-one,Paws::ACM::GetCertificate,0.46,MooseX::ClassAttribute,0.01,,
perl:5.38,vary-one,Paws::ACM::GetCertificate,0.46,MooseX::ClassAttribute,0.01,,
perl:5.40,vary-one,Paws::ACM::GetCertificate,0.46,MooseX::ClassAttribute,0.01,,
perl:5.42,vary-one,Paws::ACM::GetCertificate,0.46,MooseX::ClassAttribute,0.01,,
perl:5.34,vary-one,AnyEvent::Filesys::Watcher::Inotify2,v0.1.1,File::Spec,3.00,,
perl:5.36,vary-one,AnyEvent::Filesys::Watcher::Inotify2,v0.1.1,File::Spec,3.00,,
perl:5.38,vary-one,AnyEvent::Filesys::Watcher::Inotify2,v0.1.1,File::Spec,3.00,,
perl:5.40,vary-one,AnyEvent::Filesys::Watcher::Inotify2,v0.1.1,File::Spec,3.00,,
perl:5.42,vary-one,AnyEvent::Filesys::Watcher::Inotify2,v0.1.1,File::Spec,3.00,,
