base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v3.7.1.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v3.7.1.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v3.7.1.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v3.7.1.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v3.7.1.1,,
perl:5.34,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.22,,
perl:5.36,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.22,,
perl:5.38,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.22,,
perl:5.40,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.22,,
perl:5.42,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.22,,
perl:5.34,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.04,,
perl:5.36,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.04,,
perl:5.38,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.04,,
perl:5.40,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.04,,
perl:5.42,vary-one,Paws::StorageGateway::DescribeAvailabilityMonitorTest,0.46,Net::Amazon::Signature::V4,0.04,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.5.2,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.5.2,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.5.2,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.5.2,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.5.2,,
perl:5.34,vary-one,Imager::Filter::RoundedCorner,0.02,Imager,0.21,,
perl:5.36,vary-one,Imager::Filter::RoundedCorner,0.02,Imager,0.21,,
perl:5.38,vary-one,Imager::Filter::RoundedCorner,0.02,Imager,0.21,,
perl:5.40,vary-one,Imager::Filter::RoundedCorner,0.02,Imager,0.21,,
perl:5.42,vary-one,Imager::Filter::RoundedCorner,0.02,Imager,0.21,,
perl:5.34,vary-one,CGI::Application::Plugin::Config::YAML,0.01,Config::YAML,1.0,,
perl:5.36,vary-one,CGI::Application::Plugin::Config::YAML,0.01,Config::YAML,1.0,,
perl:5.38,vary-one,CGI::Application::Plugin::Config::YAML,0.01,Config::YAML,1.0,,
perl:5.40,vary-one,CGI::Application::Plugin::Config::YAML,0.01,Config::YAML,1.0,,
perl:5.42,vary-one,CGI::Application::Plugin::Config::YAML,0.01,Config::YAML,1.0,,
