base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Cache::Memcached,v1.0.10,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Cache::Memcached,v1.0.10,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Cache::Memcached,v1.0.10,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Cache::Memcached,v1.0.10,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Cache::Memcached,v1.0.10,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Class::Std::Fast,v0.0.8,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Class::Std::Fast,v0.0.8,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Class::Std::Fast,v0.0.8,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Class::Std::Fast,v0.0.8,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Class::Std::Fast,v0.0.8,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.1.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.1.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.1.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.1.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Data::CompactReadonly,v0.1.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Filesys::POSIX,v0.9.19,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Filesys::POSIX,v0.9.19,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Filesys::POSIX,v0.9.19,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Filesys::POSIX,v0.9.19,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Filesys::POSIX,v0.9.19,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Test::Dependencies,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Test::Dependencies,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Test::Dependencies,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Test::Dependencies,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Test::Dependencies,0.01,,
