base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Data::Feed::Feed,0.00015,Any::Moose,0.01,,
perl:5.36,vary-one,Zed::Config::Env,0.03,AnyEvent::Socket,0.1,,
perl:5.38,vary-one,Zed::Config::Env,0.03,AnyEvent::Socket,7.17,,
perl:5.40,vary-one,Attribute::Alias,1.07,Attribute::Handlers,0.50,,
perl:5.42,vary-one,Business::ISBN13,3.014,Business::ISBN::Data,1.02,,
perl:5.34,vary-one,Schema::RDBMS::AUS::User,0.04,CGI::Session::Serialize::yaml,4.26,,
perl:5.36,vary-one,CPAN::Maker::Role::ModuleUtils,v2.0.5,CLI::Simple,v0.0.1,,
perl:5.38,vary-one,CPAN::Maker::Role::ModuleUtils,v2.0.5,CLI::Simple,v2.2.0,,
perl:5.40,vary-one,Catmandu::Store::Solr,0.0304,CQL::Parser,0.2,,
perl:5.42,vary-one,WebService::IMDB::Base,0.05,Cache::FileCache,0.07,,
perl:5.34,vary-two,Paws::DeviceFarm::Radios,0.46,ARGV::Struct,0.06,Moose,0.18
perl:5.36,vary-two,Data::Feed::Feed,0.00015,Any::Moose,0.01,Test::More,0.01
perl:5.38,vary-two,Zed::Config::Env,0.03,AnyEvent,0.1,AnyEvent::Socket,0.1
perl:5.40,vary-two,Zed::Config::Env,0.03,AnyEvent,7.17,AnyEvent::Socket,0.1
perl:5.42,vary-two,Juno::Check::RawCommand,0.010,AnyEvent::HTTP,1.0,MooX::Types::MooseLike,0.01
perl:5.34,vary-two,Juno::Check::RawCommand,0.010,AnyEvent::HTTP,2.25,MooX::Types::MooseLike,0.01
perl:5.36,vary-two,Zed::Config::Env,0.03,AnyEvent::Socket,0.1,Module::Build::Tiny,0.006
perl:5.38,vary-two,Zed::Config::Env,0.03,AnyEvent::Socket,7.17,Module::Build::Tiny,0.006
perl:5.40,vary-two,DBD::PgPPSjis::CompletedResponse,0.0801008,Archive::Tar,3.12,FindBin,1.01
perl:5.42,vary-two,Games::Axmud::Cmd::QuickLabelDelete,v2.0.002,Archive::Zip,0.06,IPC::Run,0.1
perl:5.34,vary-one,Alien::LibUSB,0.4,Alien::Base,0.01,,
perl:5.36,vary-one,Alien::LibUSB,0.4,Alien::Build,0.01,,
perl:5.38,vary-one,Alien::LibUSB,0.4,Alien::Build::MM,0.01,,
perl:5.40,vary-one,Perl::Critic::Policy::NamingConventions::ProhibitAmbiguousNames,1.156,B::Keywords,0.01,,
perl:5.42,vary-one,Blockchain::Ethereum::Transaction,0.021,Bitcoin::Crypto,0.01,,
perl:5.34,vary-one,Solution::Utility,v0.9.1,CPAN::Meta::Validator,2.101090,,
perl:5.36,vary-one,CatalystX::CRUD::Results,0.58,Catalyst::Runtime,5.7000,,
perl:5.38,vary-one,Chemistry::InternalCoords::Builder,0.18,Chemistry::Bond::Find,0.05,,
perl:5.40,vary-one,DBIx::Class::Schema::Loader::DBI::ADO::Microsoft_SQL_Server,0.07053,Class::Accessor::Grouped,0.01,,
perl:5.42,vary-one,Crypt::Eksblowfish,0.009,Class::Mix,0.000,,
perl:5.34,vary-two,Paws::AlexaForBusiness::SendInvitationResponse,0.46,ARGV::Struct,0.06,URL::Encode,0.01
perl:5.36,vary-two,Alien::LibUSB,0.4,Alien::Base,0.01,Alien::Build,0.01
perl:5.38,vary-two,Alien::LibUSB,0.4,Alien::Base,2.84,Alien::Build,0.01
perl:5.40,vary-two,Alien::LibUSB,0.4,Alien::Build,0.01,Alien::Build::MM,0.01
perl:5.42,vary-two,Alien::LibUSB,0.4,Alien::Build,2.84,Alien::Build::MM,0.01
perl:5.34,vary-two,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,Alien::Cowl,0.01,FFI::Build::MM,0.12
perl:5.36,vary-two,Unicode::Emoji::Base,0.03,Any::Moose,0.27,XML::TreePP,0.01
perl:5.38,vary-two,Perl::Critic::Policy::NamingConventions::ProhibitAmbiguousNames,1.156,B::Keywords,0.01,List::Util,1.70
perl:5.40,vary-two,Perl::Critic::Policy::NamingConventions::ProhibitAmbiguousNames,1.156,B::Keywords,1.29,PPIx::Utils::Traversal,0.001
perl:5.42,vary-two,Blockchain::Ethereum::Transaction,0.021,Bitcoin::Crypto,0.01,Crypt::ScryptKDF,0.003
