base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Plack::Middleware::TemplateToolkit,0.28,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Plack::Middleware::TemplateToolkit,0.28,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Plack::Middleware::TemplateToolkit,0.28,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Plack::Middleware::TemplateToolkit,0.28,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Plack::Middleware::TemplateToolkit,0.28,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Test::Tk,1.00,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Test::Tk,1.00,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Test::Tk,1.00,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Test::Tk,1.00,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Test::Tk,1.00,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Test::Tk,3.04,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Test::Tk,3.04,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Test::Tk,3.04,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Test::Tk,3.04,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Test::Tk,3.04,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,URI::Escape::XS,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,URI::Escape::XS,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,URI::Escape::XS,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,URI::Escape::XS,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,URI::Escape::XS,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Unicode::CaseFold,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Unicode::CaseFold,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Unicode::CaseFold,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Unicode::CaseFold,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Unicode::CaseFold,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Wx::Scintilla,0.39,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Wx::Scintilla,0.39,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Wx::Scintilla,0.39,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Wx::Scintilla,0.39,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Wx::Scintilla,0.39,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XLog,v1.0.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XLog,v1.0.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XLog,v1.0.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XLog,v1.0.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XLog,v1.0.0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Monitoring::Spooler::Cmd::Command::create,0.05,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Monitoring::Spooler::Cmd::Command::create,0.05,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Monitoring::Spooler::Cmd::Command::create,0.05,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Monitoring::Spooler::Cmd::Command::create,0.05,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Monitoring::Spooler::Cmd::Command::create,0.05,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,PadWalker,0.03,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,PadWalker,0.03,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,PadWalker,0.03,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,PadWalker,0.03,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,PadWalker,0.03,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,SQL::Engine::Builder::Delete,0.03,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,SQL::Engine::Builder::Delete,0.03,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,SQL::Engine::Builder::Delete,0.03,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,SQL::Engine::Builder::Delete,0.03,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,SQL::Engine::Builder::Delete,0.03,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.02,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.02,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.02,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.02,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,SQL::Validator,0.02,,
