base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.01,,
perl:5.36,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.01,,
perl:5.38,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.01,,
perl:5.40,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.01,,
perl:5.42,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.01,,
perl:5.34,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.082844,,
perl:5.36,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.082844,,
perl:5.38,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.082844,,
perl:5.40,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.082844,,
perl:5.42,vary-one,Schema::RackTables::0_20_11::Result::Row,1.01,DBIx::Class::Schema,0.082844,,
perl:5.34,vary-one,PerlGuard::Agent::LexWrap,0.15,Data::UUID,0.01,,
perl:5.36,vary-one,PerlGuard::Agent::LexWrap,0.15,Data::UUID,0.01,,
perl:5.38,vary-one,PerlGuard::Agent::LexWrap,0.15,Data::UUID,0.01,,
perl:5.40,vary-one,PerlGuard::Agent::LexWrap,0.15,Data::UUID,0.01,,
perl:5.42,vary-one,PerlGuard::Agent::LexWrap,0.15,Data::UUID,0.01,,
perl:5.34,vary-one,VMOMI::HostServiceInfo,0.02,Exception::Class,0.6,,
perl:5.36,vary-one,VMOMI::HostServiceInfo,0.02,Exception::Class,0.6,,
perl:5.38,vary-one,VMOMI::HostServiceInfo,0.02,Exception::Class,0.6,,
perl:5.40,vary-one,VMOMI::HostServiceInfo,0.02,Exception::Class,0.6,,
perl:5.42,vary-one,VMOMI::HostServiceInfo,0.02,Exception::Class,0.6,,
perl:5.34,vary-one,DBD::PgPPSjis::CompletedResponse,0.0801008,FindBin,1.01,,
perl:5.36,vary-one,DBD::PgPPSjis::CompletedResponse,0.0801008,FindBin,1.01,,
perl:5.38,vary-one,DBD::PgPPSjis::CompletedResponse,0.0801008,FindBin,1.01,,
perl:5.40,vary-one,DBD::PgPPSjis::CompletedResponse,0.0801008,FindBin,1.01,,
perl:5.42,vary-one,DBD::PgPPSjis::CompletedResponse,0.0801008,FindBin,1.01,,
perl:5.34,vary-one,Games::Axmud::Cmd::QuickLabelDelete,v2.0.002,IPC::Run,0.1,,
perl:5.36,vary-one,Games::Axmud::Cmd::QuickLabelDelete,v2.0.002,IPC::Run,0.1,,
perl:5.38,vary-one,Games::Axmud::Cmd::QuickLabelDelete,v2.0.002,IPC::Run,0.1,,
perl:5.40,vary-one,Games::Axmud::Cmd::QuickLabelDelete,v2.0.002,IPC::Run,0.1,,
perl:5.42,vary-one,Games::Axmud::Cmd::QuickLabelDelete,v2.0.002,IPC::Run,0.1,,
perl:5.34,vary-one,App::cpm::Distribution,v1.1.4,IPC::Run3,0.005,,
perl:5.36,vary-one,App::cpm::Distribution,v1.1.4,IPC::Run3,0.005,,
perl:5.38,vary-one,App::cpm::Distribution,v1.1.4,IPC::Run3,0.005,,
perl:5.40,vary-one,App::cpm::Distribution,v1.1.4,IPC::Run3,0.005,,
perl:5.42,vary-one,App::cpm::Distribution,v1.1.4,IPC::Run3,0.005,,
perl:5.34,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.00,,
perl:5.36,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.00,,
perl:5.38,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.00,,
perl:5.40,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.00,,
perl:5.42,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.00,,
perl:5.34,vary-one,Cfn::Resource::Properties::Object::AWS::LookoutMetrics::AnomalyDetector::CsvFormatDescriptor,0.14,MooseX::StrictConstructor,0.01,,
perl:5.36,vary-one,Cfn::Resource::Properties::Object::AWS::LookoutMetrics::AnomalyDetector::CsvFormatDescriptor,0.14,MooseX::StrictConstructor,0.01,,
perl:5.38,vary-one,Cfn::Resource::Properties::Object::AWS::LookoutMetrics::AnomalyDetector::CsvFormatDescriptor,0.14,MooseX::StrictConstructor,0.01,,
perl:5.40,vary-one,Cfn::Resource::Properties::Object::AWS::LookoutMetrics::AnomalyDetector::CsvFormatDescriptor,0.14,MooseX::StrictConstructor,0.01,,
perl:5.42,vary-one,Cfn::Resource::Properties::Object::AWS::LookoutMetrics::AnomalyDetector::CsvFormatDescriptor,0.14,MooseX::StrictConstructor,0.01,,
perl:5.34,vary-one,App::SeismicUnixGui::specs::data::wptuncomp_spec,v0.87.6,PDL,1.00,,
