base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,WWW::Mechanize::PhantomJS,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,WWW::Mechanize::PhantomJS,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,WWW::Mechanize::PhantomJS,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,WWW::Mechanize::PhantomJS,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,WWW::Mechanize::PhantomJS,0.01,,
perl:5.34,vary-one,Benchmark::Perl::Formance::Plugin::Skeleton,0.55,Data::YAML::Writer,v0.0.7,,
perl:5.36,vary-one,Benchmark::Perl::Formance::Plugin::Skeleton,0.55,Data::YAML::Writer,v0.0.7,,
perl:5.38,vary-one,Benchmark::Perl::Formance::Plugin::Skeleton,0.55,Data::YAML::Writer,v0.0.7,,
perl:5.40,vary-one,Benchmark::Perl::Formance::Plugin::Skeleton,0.55,Data::YAML::Writer,v0.0.7,,
perl:5.42,vary-one,Benchmark::Perl::Formance::Plugin::Skeleton,0.55,Data::YAML::Writer,v0.0.7,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.6,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.6,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.6,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.6,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.6,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Encode::Base2N,v1.0.0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,MCE,1.000,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,MCE,1.000,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,MCE,1.000,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,MCE,1.000,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,MCE,1.000,,
perl:5.34,vary-one,MojoX::Linda,1.05,Mojo::File,9.48,,
perl:5.36,vary-one,MojoX::Linda,1.05,Mojo::File,9.48,,
perl:5.38,vary-one,MojoX::Linda,1.05,Mojo::File,9.48,,
perl:5.40,vary-one,MojoX::Linda,1.05,Mojo::File,9.48,,
perl:5.42,vary-one,MojoX::Linda,1.05,Mojo::File,9.48,,
perl:5.34,vary-one,MojoX::Linda,1.05,Mojo::File,7.09,,
perl:5.36,vary-one,MojoX::Linda,1.05,Mojo::File,7.09,,
perl:5.38,vary-one,MojoX::Linda,1.05,Mojo::File,7.09,,
perl:5.40,vary-one,MojoX::Linda,1.05,Mojo::File,7.09,,
perl:5.42,vary-one,MojoX::Linda,1.05,Mojo::File,7.09,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Marpa::R2,0.002000,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Marpa::R2,0.002000,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Marpa::R2,0.002000,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Marpa::R2,0.002000,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Marpa::R2,0.002000,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Marpa::R2,14.000000,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Marpa::R2,14.000000,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Marpa::R2,14.000000,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Marpa::R2,14.000000,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Marpa::R2,14.000000,,
perl:5.34,vary-one,HTML::Highlighter,0.05,Plack::Test,1.0054,,
perl:5.36,vary-one,HTML::Highlighter,0.05,Plack::Test,1.0054,,
perl:5.38,vary-one,HTML::Highlighter,0.05,Plack::Test,1.0054,,
perl:5.40,vary-one,HTML::Highlighter,0.05,Plack::Test,1.0054,,
perl:5.42,vary-one,HTML::Highlighter,0.05,Plack::Test,1.0054,,
perl:5.34,vary-one,HTML::Highlighter,0.05,Plack::Test,0.9000,,
perl:5.36,vary-one,HTML::Highlighter,0.05,Plack::Test,0.9000,,
perl:5.38,vary-one,HTML::Highlighter,0.05,Plack::Test,0.9000,,
perl:5.40,vary-one,HTML::Highlighter,0.05,Plack::Test,0.9000,,
perl:5.42,vary-one,HTML::Highlighter,0.05,Plack::Test,0.9000,,
perl:5.34,vary-one,Catmandu::Z3950,0.06,ZOOM,1.32,,
perl:5.36,vary-one,Catmandu::Z3950,0.06,ZOOM,1.32,,
perl:5.38,vary-one,Catmandu::Z3950,0.06,ZOOM,1.32,,
perl:5.40,vary-one,Catmandu::Z3950,0.06,ZOOM,1.32,,
perl:5.42,vary-one,Catmandu::Z3950,0.06,ZOOM,1.32,,
