base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,
perl:5.36,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,
perl:5.38,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,
perl:5.40,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,
perl:5.42,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,
perl:5.34,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,
perl:5.36,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,
perl:5.38,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,
perl:5.40,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,
perl:5.42,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,
perl:5.34,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,
perl:5.36,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,
perl:5.38,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,
perl:5.40,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,
perl:5.42,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,
perl:5.34,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,
perl:5.36,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,
perl:5.38,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,
perl:5.40,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,
perl:5.42,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,
perl:5.34,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,
perl:5.36,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,
perl:5.38,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,
perl:5.40,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,
perl:5.42,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,
perl:5.34,vary-one,Paws::KinesisAnalytics::KinesisFirehoseInput,0.46,Module::Build::Tiny,0.006,,
perl:5.36,vary-one,Paws::KinesisAnalytics::KinesisFirehoseInput,0.46,Module::Build::Tiny,0.006,,
perl:5.38,vary-one,Paws::KinesisAnalytics::KinesisFirehoseInput,0.46,Module::Build::Tiny,0.006,,
perl:5.40,vary-one,Paws::KinesisAnalytics::KinesisFirehoseInput,0.46,Module::Build::Tiny,0.006,,
perl:5.42,vary-one,Paws::KinesisAnalytics::KinesisFirehoseInput,0.46,Module::Build::Tiny,0.006,,
perl:5.34,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,
perl:5.36,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,
perl:5.38,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,
perl:5.40,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,
perl:5.42,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,
perl:5.34,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,
perl:5.36,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,
perl:5.38,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,
perl:5.40,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,
perl:5.42,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,
perl:5.34,vary-one,App::MonM::Channel::File,1.09,LWP,5,,
perl:5.36,vary-one,App::MonM::Channel::File,1.09,LWP,5,,
perl:5.38,vary-one,App::MonM::Channel::File,1.09,LWP,5,,
perl:5.40,vary-one,App::MonM::Channel::File,1.09,LWP,5,,
perl:5.42,vary-one,App::MonM::Channel::File,1.09,LWP,5,,
perl:5.34,baseline,IkiWiki::Plugin::syntax,0.25,,,,
perl:5.36,baseline,IkiWiki::Plugin::syntax,0.25,,,,
perl:5.38,baseline,IkiWiki::Plugin::syntax,0.25,,,,
perl:5.40,baseline,IkiWiki::Plugin::syntax,0.25,,,,
perl:5.42,baseline,IkiWiki::Plugin::syntax,0.25,,,,
perl:5.34,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,
perl:5.36,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,
perl:5.38,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,
perl:5.40,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,
perl:5.42,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,
perl:5.34,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,
perl:5.36,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,
perl:5.38,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,
perl:5.40,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,
perl:5.42,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,
