base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,baseline,DateTime,,,,,
perl:5.34,vary-one,DateTime,,Try::Tiny,0.30,,
perl:5.34,vary-one,DateTime,,Specio,0.50,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Specio,0.50
perl:5.34,vary-one,DateTime,,Specio,0.53,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Specio,0.53
perl:5.34,vary-one,DateTime,,Module::Runtime,0.016,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Module::Runtime,0.016
perl:5.34,vary-one,DateTime,,Module::Runtime,0.017,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Module::Runtime,0.017
perl:5.34,vary-one,DateTime,,Module::Runtime::Conflicts,0.003,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Module::Runtime::Conflicts,0.003
perl:5.34,vary-one,DateTime,,Dist::CheckConflicts,0.11,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Dist::CheckConflicts,0.11
perl:5.34,vary-one,DateTime,,Test::Fatal,0.016,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Fatal,0.016
perl:5.34,vary-one,DateTime,,Test::Fatal,0.017,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Fatal,0.017
perl:5.34,vary-one,DateTime,,Test::Warnings,0.031,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Warnings,0.031
perl:5.34,vary-one,DateTime,,Test::Warnings,0.033,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Warnings,0.033
perl:5.34,vary-one,DateTime,,Test::Needs,0.002010,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Needs,0.002010
perl:5.34,vary-one,DateTime,,Test::More,1.302195,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::More,1.302195
perl:5.34,vary-one,DateTime,,Test::More,1.302204,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::More,1.302204
perl:5.34,vary-one,DateTime,,Test::Simple,1.302195,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Simple,1.302195
perl:5.34,vary-one,DateTime,,Test::Simple,1.302204,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Test::Simple,1.302204
perl:5.34,vary-one,DateTime,,URI,5.21,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,URI,5.21
perl:5.34,vary-one,DateTime,,URI,5.28,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,URI,5.28
perl:5.34,vary-one,DateTime,,HTTP::Message,6.44,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTTP::Message,6.44
perl:5.34,vary-one,DateTime,,HTTP::Message,6.46,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTTP::Message,6.46
perl:5.34,vary-one,DateTime,,HTTP::Date,6.05,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTTP::Date,6.05
perl:5.34,vary-one,DateTime,,HTTP::Date,6.06,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTTP::Date,6.06
perl:5.34,vary-one,DateTime,,Net::HTTP,6.22,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Net::HTTP,6.22
perl:5.34,vary-one,DateTime,,Net::HTTP,6.23,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,Net::HTTP,6.23
perl:5.34,vary-one,DateTime,,HTML::Tagset,3.20,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTML::Tagset,3.20
perl:5.34,vary-one,DateTime,,HTML::Tagset,3.24,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTML::Tagset,3.24
perl:5.34,vary-one,DateTime,,HTML::Parser,3.81,,
perl:5.34,vary-two,DateTime,,Try::Tiny,0.30,HTML::Parser,3.81
