missing_prerequisite,historical_run_id,base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version,historical_note
Alien::Base::ModuleBuild,021768,perl:5.34,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,,Dependency version Alien::Moot 0.001 requested; Missing prerequisite: Alien::Base::ModuleBuild
Alien::Base::ModuleBuild,021771,perl:5.36,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,,Dependency version Alien::Moot 0.001 requested; Missing prerequisite: Alien::Base::ModuleBuild
Alien::Base::ModuleBuild,021774,perl:5.38,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,,Dependency version Alien::Moot 0.001 requested; Missing prerequisite: Alien::Base::ModuleBuild
Alien::Base::ModuleBuild,021777,perl:5.40,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,,Dependency version Alien::Moot 0.001 requested; Missing prerequisite: Alien::Base::ModuleBuild
Alien::Base::ModuleBuild,021780,perl:5.42,vary-one,Moot::Waste,v2.0.14,Alien::Moot,0.001,,,Dependency version Alien::Moot 0.001 requested; Missing prerequisite: Alien::Base::ModuleBuild
Alien::Cowl,008896,perl:5.34,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,,Missing prerequisite: Alien::Cowl
Alien::Cowl,008910,perl:5.36,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,,Missing prerequisite: Alien::Cowl
Alien::Cowl,008924,perl:5.38,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,,Missing prerequisite: Alien::Cowl
Alien::Cowl,008938,perl:5.40,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,,Missing prerequisite: Alien::Cowl
Alien::Cowl,008952,perl:5.42,baseline,RDF::Cowl::Lib::Gen::Class::DataHasValue,v1.0.0,,,,,Missing prerequisite: Alien::Cowl
Alien::wxWidgets,055855,perl:5.34,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,,Dependency version Wx::Scintilla 0.01 requested; Missing prerequisite: Alien::wxWidgets
Alien::wxWidgets,055874,perl:5.36,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,,Dependency version Wx::Scintilla 0.01 requested; Missing prerequisite: Alien::wxWidgets
Alien::wxWidgets,055893,perl:5.38,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,,Dependency version Wx::Scintilla 0.01 requested; Missing prerequisite: Alien::wxWidgets
Alien::wxWidgets,055912,perl:5.40,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,,Dependency version Wx::Scintilla 0.01 requested; Missing prerequisite: Alien::wxWidgets
Alien::wxWidgets,055931,perl:5.42,vary-one,Padre::Wx::Directory::TreeCtrl,1.02,Wx::Scintilla,0.01,,,Dependency version Wx::Scintilla 0.01 requested; Missing prerequisite: Alien::wxWidgets
DBI,003177,perl:5.34,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,,Dependency version DBD::SQLite 0.05 requested; Missing prerequisite: DBI
DBI,003196,perl:5.36,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,,Dependency version DBD::SQLite 0.05 requested; Missing prerequisite: DBI
DBI,003215,perl:5.38,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,,Dependency version DBD::SQLite 0.05 requested; Missing prerequisite: DBI
DBI,003234,perl:5.40,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,,Dependency version DBD::SQLite 0.05 requested; Missing prerequisite: DBI
DBI,003253,perl:5.42,vary-one,Lingua::Thesaurus::RelType,0.13,DBD::SQLite,0.05,,,Dependency version DBD::SQLite 0.05 requested; Missing prerequisite: DBI
ExtUtils::AutoInstall,041507,perl:5.34,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,,Dependency version XML::Atom 0.01 requested; Missing prerequisite: ExtUtils::AutoInstall
ExtUtils::AutoInstall,041526,perl:5.36,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,,Dependency version XML::Atom 0.01 requested; Missing prerequisite: ExtUtils::AutoInstall
ExtUtils::AutoInstall,041545,perl:5.38,vary-one,Data::Feed::Feed,0.00015,XML::Atom,0.01,,,Dependency version XML::Atom 0.01 requested; Missing prerequisite: ExtUtils::AutoInstall
