dependency,version,historical_rows,confirmation_fail,confirmation_pass,evidence
AI::Genetic::Pro::Chromosome,1.009,50,5,0,configuration_pair_reproduced_all_bases
Alien::SWIProlog,0.001,25,5,0,configuration_pair_reproduced_all_bases
Alien::SWIProlog,0.002,25,5,0,configuration_pair_reproduced_all_bases
Alien::wxWidgets,0.03,25,5,0,configuration_pair_reproduced_all_bases
Alien::wxWidgets,0.69,25,5,0,configuration_pair_reproduced_all_bases
Apache2::RequestUtil,2.0.13,25,5,0,configuration_pair_reproduced_all_bases
Apache::Singleton::Request,0.17,20,5,0,configuration_pair_reproduced_all_bases
App::Devel::MAT::Explorer::GTK::Resources,0.06,20,5,0,configuration_pair_reproduced_all_bases
Archive::Extract::Libarchive,0.35,25,5,0,configuration_pair_reproduced_all_bases
Archive::Extract::Libarchive,0.38,25,5,0,configuration_pair_reproduced_all_bases
Bencher::ScenarioBundle::SmartMatch,0.001,10,1,4,configuration_pair_version_dependent
Bit::Set::OO,0.13,68,4,1,configuration_pair_version_dependent
Bit::Vector,4.0,50,5,0,configuration_pair_reproduced_all_bases
CLI::Gwrapper::HTTP,0.030,20,5,0,configuration_pair_reproduced_all_bases
Catmandu::Z3950,0.06,30,5,0,configuration_pair_reproduced_all_bases
Chart::Plotly::Trace::Cone,0.042,15,0,5,configuration_pair_not_reproduced
Config::Model::SimpleUI,2.166,25,0,5,configuration_pair_not_reproduced
Crypt::OpenSSL3::X509::Attribute,0.010,31,4,1,configuration_pair_version_dependent
Crypt::OpenSSL::RSA,0.08,50,5,0,configuration_pair_reproduced_all_bases
Crypt::PKCS11::CK_SSL3_MASTER_KEY_DERIVE_PARAMS,1.03,6,5,0,configuration_pair_mixed_failure_mechanism
Crypt::SSLeay,0.01,95,5,0,configuration_pair_reproduced_all_bases
Crypt::SSLeay,0.72,57,3,2,configuration_pair_version_dependent
Daje::Controller::Kanban::KanbanTasks,0.01,8,5,0,configuration_pair_mixed_failure_mechanism
Data::MessagePack,0.01,25,5,0,configuration_pair_reproduced_all_bases
Data::Structure::Util,0.01,15,3,2,configuration_pair_version_dependent
Date::Calc,4.0,25,5,0,configuration_pair_reproduced_all_bases
Devel::Caller,0.02,25,5,0,configuration_pair_reproduced_all_bases
Devel::Symdump,1.21,25,5,0,configuration_pair_reproduced_all_bases
Developer::Dashboard::PerlEnv,4.16,10,0,5,configuration_pair_not_reproduced
Device::Chip::Adapter::FTDI,0.14,70,5,0,configuration_pair_reproduced_all_bases
Device::ParallelPort::drv::win32,1.0,25,5,0,configuration_pair_reproduced_all_bases
Device::ParallelPort::drv::win32,1.3,25,5,0,configuration_pair_reproduced_all_bases
Digest::SHA1,0.01,20,5,0,configuration_pair_reproduced_all_bases
Encode,0.93,390,5,0,configuration_pair_reproduced_all_bases
Encode::IBM,0.01,15,5,0,configuration_pair_reproduced_all_bases
Encode::IBM,0.11,20,0,5,configuration_pair_not_reproduced
Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,30,5,0,configuration_pair_reproduced_all_bases
Gapp::Moose::Meta::Attribute::Trait::GappTextView,0.60,30,5,0,configuration_pair_reproduced_all_bases
Geo::Coordinates::Converter::iArea,0.01,15,5,0,configuration_pair_reproduced_all_bases
Glib,0.24,45,5,0,configuration_pair_reproduced_all_bases
GooCanvas2,0.04,25,5,0,configuration_pair_reproduced_all_bases
GooCanvas2,0.06,25,5,0,configuration_pair_reproduced_all_bases
Gtk2,1.24993,50,5,0,configuration_pair_reproduced_all_bases
Gtk2::Ex::GdkBits,3,25,5,0,configuration_pair_reproduced_all_bases
Gtk2::Ex::GdkBits,48,25,5,0,configuration_pair_reproduced_all_bases
Gtk2::Ex::ListModelConcat,1,15,5,0,configuration_pair_reproduced_all_bases
Gtk2::Ex::ListModelConcat,11,15,5,0,configuration_pair_reproduced_all_bases
Gtk2::Ex::MenuView,1,15,5,0,configuration_pair_reproduced_all_bases
Gtk2::Ex::MenuView,5,15,5,0,configuration_pair_reproduced_all_bases
Gtk::Object,0.7010,30,5,0,configuration_pair_reproduced_all_bases
HTML::Parser,3.85,5,0,5,configuration_pair_not_reproduced
HTTP::Headers,6.00,40,5,0,configuration_pair_reproduced_all_bases
Heap::Simple::XS,0.01,15,3,2,configuration_pair_version_dependent
IO::Handle,1.07,120,5,0,configuration_pair_reproduced_all_bases
Image::BioChrome,1.16,5,5,0,configuration_pair_reproduced_all_bases
Image::Imlib2,0.01,25,5,0,configuration_pair_reproduced_all_bases
