dependency,version,historical_rows,evidence,source_batch
Any::Moose,0.01,50,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_2_20260824_211845
AnyEvent::Socket,0.1,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_5_20260824_221336
AnyEvent::Socket,7.17,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_5_20260824_221336
Attribute::Handlers,0.50,15,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_10_20260825_152502
Business::ISBN::Data,1.02,15,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_10_20260825_152502
CGI::Session::Serialize::yaml,4.26,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_5_20260824_221336
CLI::Simple,v0.0.1,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_6_20260825_121819
CLI::Simple,v2.2.0,25,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_6_20260825_121819
CQL::Parser,0.2,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_6_20260825_121819
Cache::FileCache,0.07,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_6_20260825_121819
Cache::FileCache,1.08,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_6_20260825_121819
Cache::Memcached,v1.0.10,25,dependency_install_failure_not_reproduced,30_dependency_safe_target_confirmation_20260825_214647
Carp::Clan,5.1,50,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_2_20260824_211845
Catalyst::Plugin::ConfigLoader,0.01,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_5_20260824_221336
Chemistry::Canonicalize,0.10,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_6_20260825_121819
Class::ISA,0.2,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_4_20260824_220111
Class::Std::Fast,v0.0.8,25,dependency_install_failure_not_reproduced,30_dependency_safe_target_confirmation_20260825_214647
Clownfish::CFC,v0.4.0,25,dependency_pair_did_not_remain,60_dependency_failure_confirmation_3_20260824_215052
Clownfish::CFC,v0.6.4,25,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_3_20260824_215052
Config::YAML,1.0,5,dependency_install_failure_reproduced_all_bases,30_dependency_failure_confirmation_final_20260825_164914
DBIx::Class::Schema,0.01,115,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_20260823_152354
DBIx::Class::Schema,0.082844,115,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_20260823_152354
Data::CompactReadonly,v0.0.1,25,dependency_install_failure_not_reproduced,30_dependency_safe_target_confirmation_20260825_214647
Data::CompactReadonly,v0.1.1,25,dependency_install_failure_not_reproduced,30_dependency_safe_target_confirmation_20260825_214647
Data::Random,0.01,40,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_2_20260824_211845
Data::UUID,0.01,75,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
Data::YAML::Writer,v0.0.7,25,dependency_install_failure_not_reproduced,5_data_yaml_writer_v0_0_7_confirmation_20260825_144614
DateTime,0.02,10,dependency_pair_did_not_remain,60_dependency_failure_confirmation_11_20260825_162324
DateTime::Span,0.01,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_5_20260824_221336
DateTime::Span,0.3900,25,dependency_release_confirmed_unavailable,122_dependency_availability_check_20260821_233929
Devel::Callsite,v1.0.1,20,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_8_20260825_144903
Devel::GlobalDestruction,0.01,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_5_20260824_221336
Encode::Base2N,v1.0.0,25,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_7_20260825_134344
Encode::Base2N,v1.0.6,25,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_7_20260825_134344
Exception::Class,0.6,120,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
Feed::Data,0.01,15,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_10_20260825_152502
File::Find::Object::Rule,0.0100,25,dependency_install_failure_reproduced_all_bases,3467_stale_loader_verifier_recalibration_20260823_185506
File::Spec,3.00,365,dependency_install_failure_not_reproduced,25_top_dependency_failure_confirmation_20260822_222459
Filesys::POSIX,v0.9.19,30,dependency_install_failure_not_reproduced,30_dependency_safe_target_confirmation_20260825_214647
FindBin,1.01,90,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
Getopt::Alt,v0.0.1,20,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_8_20260825_144903
Getopt::Alt,v0.5.5,20,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_8_20260825_144903
Google::Api::Common,0.01,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_8_20260825_144903
Google::Api::Common,0.04,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_8_20260825_144903
Graph::Directed,0.001,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_3_20260824_215052
Graph::Directed,0.9735,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_3_20260824_215052
HPCI,0.75,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_5_20260824_221336
HTML::FillInForm,2.22,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_6_20260825_121819
HTML::Mason,0.1,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_6_20260825_121819
HTML::Parser,2.14,5,dependency_pair_did_not_remain,60_dependency_failure_confirmation_11_20260825_162324
HTTP::Message::PSGI,0.9000,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_8_20260825_144903
HTTP::Message::PSGI,1.0054,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_8_20260825_144903
IO::All,0.10,25,dependency_install_failure_reproduced_all_bases,3467_stale_loader_verifier_recalibration_20260823_185506
IO::Socket::IP,0.01,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_3_20260824_215052
IPC::Run,0.1,95,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
IPC::Run3,0.005,75,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
Image::ExifTool,3.60,45,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_2_20260824_211845
Image::Size,3.300,20,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_9_20260825_150212
Imager,0.21,5,dependency_install_failure_reproduced_all_bases,30_dependency_failure_confirmation_final_20260825_164914
Jifty::DBI::Collection,0.06,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_9_20260825_150212
Jifty::DBI::Collection,0.78,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_9_20260825_150212
Log::Dispatch::FileRotate,1.02,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_3_20260824_215052
Log::Log4perl::Appender::Screen,0.16,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_8_20260825_144903
Log::Log4perl::Appender::Screen,1.57,20,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_8_20260825_144903
Log::Log4perl::Level,0.16,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_4_20260824_220111
Log::Log4perl::Level,1.57,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_4_20260824_220111
MCE,1.000,25,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_7_20260825_134344
MIME::Types,0.01,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
Marpa::R2,0.002000,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_7_20260825_134344
Marpa::R2,14.000000,20,dependency_install_failure_not_reproduced,60_dependency_failure_confirmation_7_20260825_134344
Metabrik,1.00,60,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
Metabrik,1.41,60,dependency_install_failure_reproduced_all_bases,50_dependency_failure_confirmation_final_20260823_153204
Mixin::Linewise::Readers,0.001,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_4_20260824_220111
Module::Build,0.01,619,dependency_install_failure_reproduced_all_bases,25_top_dependency_failure_confirmation_20260822_222459
Module::ScanDeps::Static,0.1,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_3_20260824_215052
Module::ScanDeps::Static,v1.9.1,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_3_20260824_215052
Mojo::File,7.09,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_7_20260825_134344
Mojo::File,9.48,25,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_7_20260825_134344
Mojo::Server::Morbo,7.09,15,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_11_20260825_162324
Mojo::Server::Morbo,9.48,15,dependency_release_confirmed_unavailable,60_dependency_failure_confirmation_10_20260825_152502
MooX::ClassAttribute,0.001,25,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_6_20260825_121819
MooX::Role::Chatty,1.00,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
MooX::Types::MooseLike,0.01,45,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_2_20260824_211845
Moose,0.18,801,dependency_install_failure_reproduced_all_bases,25_top_dependency_failure_confirmation_20260822_222459
MooseX::AttributeHelpers,0.01,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
MooseX::ClassAttribute,0.01,375,dependency_install_failure_reproduced_all_bases,25_top_dependency_failure_confirmation_20260822_222459
MooseX::Daemonize,0.01,10,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_11_20260825_162324
MooseX::Role::Parameterized,0.01,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
MooseX::Role::WithOverloading,0.01,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
MooseX::StrictConstructor,0.01,190,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_20260823_152354
Net::Amazon::Signature::V4,0.04,5,dependency_install_failure_not_reproduced,30_dependency_failure_confirmation_final_20260825_164914
Net::Amazon::Signature::V4,0.22,5,dependency_install_failure_not_reproduced,30_dependency_failure_confirmation_final_20260825_164914
Net::Bamboo,0.01,10,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_11_20260825_162324
Net::LDAP,1.08,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_9_20260825_150212
Net::SockAddr,v1.1.4,25,dependency_install_failure_not_reproduced,5_netsockaddr_v1_1_4_confirmation_20260825_133834
NetHack::Item,0.01,42,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_2_20260824_211845
Object::Declare,0.25,20,dependency_install_failure_reproduced_all_bases,60_dependency_failure_confirmation_8_20260825_144903
