module,version,historical_status,audit_evidence,rows
AWS::S3::ResponseParser,2.00,FAIL,missing_prerequisite_mechanism_reproduced_all_bases,20
AWS::S3::ResponseParser,2.00,FAIL,target_release_now_proven_unavailable,35
AWS::S3::ResponseParser,2.00,UNAVAILABLE,historical_unavailable,40
Amazon::SQS::Model::SendMessageResult,v2.0.7,FAIL,dependency_install_failure_reproduced_all_bases,50
Amazon::SQS::Model::SendMessageResult,v2.0.7,FAIL,target_release_now_proven_unavailable,45
App::Asciio::Actions::Arrow,v1.9.02,FAIL,target_release_now_proven_unavailable,50
App::Asciio::Actions::Arrow,v1.9.02,UNAVAILABLE,historical_unavailable,45
App::BorgRestore::Settings,v3.4.5,FAIL,dependency_install_failure_reproduced_all_bases,25
App::BorgRestore::Settings,v3.4.5,FAIL,dependency_release_confirmed_unavailable,40
App::BorgRestore::Settings,v3.4.5,FAIL,target_release_now_proven_unavailable,30
App::CamelPKI::CertTemplate,0.07,FAIL,target_release_now_proven_unavailable,70
App::CamelPKI::CertTemplate,0.07,UNAVAILABLE,historical_unavailable,25
App::Chart::Gtk2::WatchlistDialog,275,FAIL,target_release_now_proven_unavailable,95
App::Chart::Series::Derived::MedianAverage,275,FAIL,configuration_pair_reproduced_all_bases,50
App::Chart::Series::Derived::MedianAverage,275,FAIL,missing_prerequisite_mechanism_reproduced_all_bases,25
App::Chart::Series::Derived::MedianAverage,275,FAIL,target_release_now_proven_unavailable,20
App::Chart::Series::Derived::VWMA,275,FAIL,configuration_pair_reproduced_all_bases,80
App::Chart::Series::Derived::VWMA,275,FAIL,target_release_now_proven_unavailable,15
App::FargateStack::Builder::Autoscaling,v1.0.50,FAIL,dependency_release_confirmed_unavailable,50
App::FargateStack::Builder::Autoscaling,v1.0.50,FAIL,target_release_now_proven_unavailable,45
App::HTTP_Proxy_IMP::Conn,0.958,FAIL,configuration_pair_reproduced_all_bases,25
App::HTTP_Proxy_IMP::Conn,0.958,FAIL,target_release_now_proven_unavailable,45
App::HTTP_Proxy_IMP::Conn,0.958,UNAVAILABLE,historical_unavailable,25
App::Netdisco::DB::Result::Virtual::UnDirEdgesAgg,2.101000,FAIL,dependency_install_failure_not_reproduced,25
